"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"me.justpitch.loggingbenchmarks.LoggingAflush_rk.asynclogLog_log4j___Style","sample",4,16311877,2410.068188,18.828915,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingAflush_rk.asynclogLog_log4j___Style:asynclogLog_log4j___Style·p0.00","sample",4,1,199.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingAflush_rk.asynclogLog_log4j___Style:asynclogLog_log4j___Style·p0.50","sample",4,1,525.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingAflush_rk.asynclogLog_log4j___Style:asynclogLog_log4j___Style·p0.90","sample",4,1,1706.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingAflush_rk.asynclogLog_log4j___Style:asynclogLog_log4j___Style·p0.95","sample",4,1,12752.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingAflush_rk.asynclogLog_log4j___Style:asynclogLog_log4j___Style·p0.99","sample",4,1,29280.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingAflush_rk.asynclogLog_log4j___Style:asynclogLog_log4j___Style·p0.999","sample",4,1,171039.232000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingAflush_rk.asynclogLog_log4j___Style:asynclogLog_log4j___Style·p0.9999","sample",4,1,440832.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingAflush_rk.asynclogLog_log4j___Style:asynclogLog_log4j___Style·p1.00","sample",4,1,12894208.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingAsyncmark.asynclogLog_log4j___Style","sample",4,16705785,2242.433937,15.500768,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingAsyncmark.asynclogLog_log4j___Style:asynclogLog_log4j___Style·p0.00","sample",4,1,193.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingAsyncmark.asynclogLog_log4j___Style:asynclogLog_log4j___Style·p0.50","sample",4,1,533.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingAsyncmark.asynclogLog_log4j___Style:asynclogLog_log4j___Style·p0.90","sample",4,1,1766.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingAsyncmark.asynclogLog_log4j___Style:asynclogLog_log4j___Style·p0.95","sample",4,1,12512.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingAsyncmark.asynclogLog_log4j___Style:asynclogLog_log4j___Style·p0.99","sample",4,1,27648.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingAsyncmark.asynclogLog_log4j___Style:asynclogLog_log4j___Style·p0.999","sample",4,1,136448.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingAsyncmark.asynclogLog_log4j___Style:asynclogLog_log4j___Style·p0.9999","sample",4,1,311296.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingAsyncmark.asynclogLog_log4j___Style:asynclogLog_log4j___Style·p1.00","sample",4,1,11288576.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.strawmanLog_log4j___Style","sample",4,17762461,3952.885366,60.660467,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.strawmanLog_log4j___Style:strawmanLog_log4j___Style·p0.00","sample",4,1,386.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.strawmanLog_log4j___Style:strawmanLog_log4j___Style·p0.50","sample",4,1,811.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.strawmanLog_log4j___Style:strawmanLog_log4j___Style·p0.90","sample",4,1,3016.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.strawmanLog_log4j___Style:strawmanLog_log4j___Style·p0.95","sample",4,1,4072.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.strawmanLog_log4j___Style:strawmanLog_log4j___Style·p0.99","sample",4,1,8656.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.strawmanLog_log4j___Style:strawmanLog_log4j___Style·p0.999","sample",4,1,496128.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.strawmanLog_log4j___Style:strawmanLog_log4j___Style·p0.9999","sample",4,1,1742343.782394,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.strawmanLog_log4j___Style:strawmanLog_log4j___Style·p1.00","sample",4,1,256376832.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingFlush__rk.synclog_Log_log4j___Style","sample",4,13149369,6103.024180,55.547409,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingFlush__rk.synclog_Log_log4j___Style:synclog_Log_log4j___Style·p0.00","sample",4,1,432.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingFlush__rk.synclog_Log_log4j___Style:synclog_Log_log4j___Style·p0.50","sample",4,1,1626.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingFlush__rk.synclog_Log_log4j___Style:synclog_Log_log4j___Style·p0.90","sample",4,1,4020.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingFlush__rk.synclog_Log_log4j___Style:synclog_Log_log4j___Style·p0.95","sample",4,1,4936.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingFlush__rk.synclog_Log_log4j___Style:synclog_Log_log4j___Style·p0.99","sample",4,1,26016.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingFlush__rk.synclog_Log_log4j___Style:synclog_Log_log4j___Style·p0.999","sample",4,1,793600.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingFlush__rk.synclog_Log_log4j___Style:synclog_Log_log4j___Style·p0.9999","sample",4,1,1921024.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingFlush__rk.synclog_Log_log4j___Style:synclog_Log_log4j___Style·p1.00","sample",4,1,23855104.000000,NaN,"ns/op"
