"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"me.justpitch.loggingbenchmarks.LoggingAflush_rk.asynclogLog_logback_Style","sample",4,14707497,4408.004768,21.821009,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingAflush_rk.asynclogLog_logback_Style:asynclogLog_logback_Style·p0.00","sample",4,1,577.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingAflush_rk.asynclogLog_logback_Style:asynclogLog_logback_Style·p0.50","sample",4,1,1152.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingAflush_rk.asynclogLog_logback_Style:asynclogLog_logback_Style·p0.90","sample",4,1,6032.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingAflush_rk.asynclogLog_logback_Style:asynclogLog_logback_Style·p0.95","sample",4,1,33984.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingAflush_rk.asynclogLog_logback_Style:asynclogLog_logback_Style·p0.99","sample",4,1,45888.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingAflush_rk.asynclogLog_logback_Style:asynclogLog_logback_Style·p0.999","sample",4,1,63168.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingAflush_rk.asynclogLog_logback_Style:asynclogLog_logback_Style·p0.9999","sample",4,1,105856.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingAflush_rk.asynclogLog_logback_Style:asynclogLog_logback_Style·p1.00","sample",4,1,25067520.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingAsyncmark.asynclogLog_logback_Style","sample",4,15235664,4241.294957,22.528431,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingAsyncmark.asynclogLog_logback_Style:asynclogLog_logback_Style·p0.00","sample",4,1,610.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingAsyncmark.asynclogLog_logback_Style:asynclogLog_logback_Style·p0.50","sample",4,1,1142.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingAsyncmark.asynclogLog_logback_Style:asynclogLog_logback_Style·p0.90","sample",4,1,5752.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingAsyncmark.asynclogLog_logback_Style:asynclogLog_logback_Style·p0.95","sample",4,1,33344.000000,NaN,"ns/op"
