"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.cachelogLog_nolog___Style","sample",4,14200840,2133.129732,136.410212,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.cachelogLog_nolog___Style:cachelogLog_nolog___Style·p0.00","sample",4,1,0.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.cachelogLog_nolog___Style:cachelogLog_nolog___Style·p0.50","sample",4,1,168.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.cachelogLog_nolog___Style:cachelogLog_nolog___Style·p0.90","sample",4,1,183.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.cachelogLog_nolog___Style:cachelogLog_nolog___Style·p0.95","sample",4,1,188.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.cachelogLog_nolog___Style:cachelogLog_nolog___Style·p0.99","sample",4,1,357.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.cachelogLog_nolog___Style:cachelogLog_nolog___Style·p0.999","sample",4,1,3624.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.cachelogLog_nolog___Style:cachelogLog_nolog___Style·p0.9999","sample",4,1,8167424.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.cachelogLog_nolog___Style:cachelogLog_nolog___Style·p1.00","sample",4,1,28377088.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.field2__Log_nolog___Style","sample",4,15101480,1911.864322,123.437574,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.field2__Log_nolog___Style:field2__Log_nolog___Style·p0.00","sample",4,1,0.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.field2__Log_nolog___Style:field2__Log_nolog___Style·p0.50","sample",4,1,167.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.field2__Log_nolog___Style:field2__Log_nolog___Style·p0.90","sample",4,1,182.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.field2__Log_nolog___Style:field2__Log_nolog___Style·p0.95","sample",4,1,189.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.field2__Log_nolog___Style:field2__Log_nolog___Style·p0.99","sample",4,1,348.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.field2__Log_nolog___Style:field2__Log_nolog___Style·p0.999","sample",4,1,3582.076000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.field2__Log_nolog___Style:field2__Log_nolog___Style·p0.9999","sample",4,1,8159232.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.field2__Log_nolog___Style:field2__Log_nolog___Style·p1.00","sample",4,1,24477696.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.field___Log_nolog___Style","sample",4,15608333,1934.816870,121.797703,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.field___Log_nolog___Style:field___Log_nolog___Style·p0.00","sample",4,1,0.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.field___Log_nolog___Style:field___Log_nolog___Style·p0.50","sample",4,1,166.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.field___Log_nolog___Style:field___Log_nolog___Style·p0.90","sample",4,1,181.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.field___Log_nolog___Style:field___Log_nolog___Style·p0.95","sample",4,1,187.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.field___Log_nolog___Style:field___Log_nolog___Style·p0.99","sample",4,1,341.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.field___Log_nolog___Style:field___Log_nolog___Style·p0.999","sample",4,1,2828.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.field___Log_nolog___Style:field___Log_nolog___Style·p0.9999","sample",4,1,8159232.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.field___Log_nolog___Style:field___Log_nolog___Style·p1.00","sample",4,1,24444928.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.finallogLog_nolog___Style","sample",4,14299983,2167.311072,137.099616,"ns/op"
